,Date,Open,High,Low,Close,Adj Close,Volume,Stock Name,Daily Returns,Y1,Forward Weekly Volatility,Backward Weekly Volatility,Y1_t-1,Y1_t-2,Y1_t-3,Y1_t-4,Y1_t-5,Sentiment_Score,Sentiment_Score_Lag_1,Sentiment_Score_Lag_2,Sentiment_Score_Lag_3,Sentiment_Score_Lag_4,Sentiment_Score_Lag_5,Apple_Wins_5
0,2021-09-30,143.6600037,144.3800049,141.2799988,141.5,140.4784851,89056700.0,AAPL,,0,,,,,,,,0.0,,,,,,0.0
1,2021-10-01,141.8999939,142.9199982,139.1100006,142.6499939,141.620163,94639600.0,AAPL,0.008127065857716831,0,0.015492571914097517,,0.0,,,,,0.0,0.0,,,,,0.0
2,2021-10-04,141.7599945,142.2100067,138.2700043,139.1399994,138.1355133,98322000.0,AAPL,-0.02460560435875203,0,0.015285802341256602,,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0
3,2021-10-05,139.4900055,142.2400055,139.3600006,141.1100006,140.0912781,80861100.0,AAPL,0.014158305516645209,0,0.00695163234324162,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0
4,2021-10-06,139.4700012,142.1499939,138.3699951,142.0,140.9748688,83221100.0,AAPL,0.0063072499015195405,0,0.007267259171122165,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
5,2021-10-07,143.0599976,144.2200012,142.7200012,143.2899933,142.2555542,61732700.0,AAPL,0.009084494356344619,1,0.006700571199219293,0.015492571914097517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-10-08,144.0299988,144.1799927,142.5599976,142.8999939,141.8683624,58773200.0,AAPL,-0.0027218044467750557,0,0.011349318517756519,0.015285802341256602,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,2021-10-11,142.2700043,144.8099976,141.8099976,142.8099976,141.779007,64452200.0,AAPL,-0.0006298472646638631,1,0.011498402026089111,0.00695163234324162,0.0,1.0,0.0,0.0,0.0,0.310539573431015,0.0,0.0,0.0,0.0,0.0,1.0
8,2021-10-12,143.2299957,143.25,141.0399933,141.5099945,140.4884033,73035900.0,AAPL,-0.009102925230672687,0,0.011920953200567281,0.007267259171122165,1.0,0.0,1.0,0.0,0.0,0.0,0.310539573431015,0.0,0.0,0.0,0.0,2.0
9,2021-10-13,141.2400055,141.3999939,139.1999969,140.9100037,139.892746,78762700.0,AAPL,-0.004239903693175506,0,0.009254307940215997,0.006700571199219293,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.310539573431015,0.0,0.0,0.0,2.0
